ID,Category,Tier,Model,Form,Vol_L,CPU,CPU_Arch,Cores,Boost_GHz,AVX512,iGPU_dGPU,Inf_Path,Mem_Type,Channels,RAM_GB,BW_GBps,Qwen7B_TokS,Phi35_TokS,Conc3_TokS,TDP_W,Top_NIC,ECC,Linux,Mgmt,ArchFit,Cost_USD,Upgrade,Upg_BW_GBps,Upg_RAM_GB,Upg_Qwen_TokS,Upg_Tier,Upg_Cost_USD,Notes
1,Apple,Inadequate,Mac mini M4 16GB,MiniPC,0.8,M4 10c,M4,10,4.4,No,M4 GPU 10c,Metal,UMA,2,16,120,8,25,4,65,1GbE,No,1,None,SplitArch,599,+8GB to 24GB,120,24,21,Workable,200,RAM insufficient for Qwen 7B + headroom
2,Apple,Workable,Mac mini M4 24GB,MiniPC,0.8,M4 10c,M4,10,4.4,No,M4 GPU 10c,Metal,UMA,2,24,120,21,60,10,65,1GbE,No,1,None,SplitArch,799,+8GB to 32GB,120,32,25,Workable,200,Min viable Apple LLM; macOS hard to air-gap
3,Apple,Workable,Mac mini M4 32GB,MiniPC,0.8,M4 10c,M4,10,4.4,No,M4 GPU 10c,Metal,UMA,2,32,120,25,70,12,65,1GbE,No,1,None,SplitArch,999,Step up to M4 Pro,273,24,35,Production,400,Cheapest 32GB Apple; no PCIe expansion
4,Apple,Production,Mac mini M4 Pro 24GB,MiniPC,0.8,M4 Pro 12c,M4Pro,12,4.4,No,M4Pro GPU 16c,Metal,UMA,4,24,273,32,90,15,155,1GbE,No,1,None,SplitArch,1399,+24GB to 48GB,273,48,42,BestInClass,400,Best perf-per-dollar Apple entry
5,Apple,BestInClass,Mac mini M4 Pro 48GB,MiniPC,0.8,M4 Pro 12c,M4Pro,12,4.4,No,M4Pro GPU 16c,Metal,UMA,4,48,273,42,110,19,155,1GbE,No,1,None,SplitArch,1799,+16GB to 64GB or 14c CPU,273,64,48,BestInClass,400,Headroom for larger models
6,Apple,BestInClass,Mac mini M4 Pro 64GB 14c,MiniPC,0.8,M4 Pro 14c,M4Pro,14,4.4,No,M4Pro GPU 20c,Metal,UMA,4,64,273,48,120,22,155,10GbE,No,1,None,SplitArch,2599,Step up to Studio M4 Max,410,36,58,Reference,0,Top Mac mini config; 10GbE BTO
7,Apple,Reference,Mac Studio M4 Max 14c 36GB,SFF,3.7,M4 Max 14c,M4Max,14,4.5,No,M4Max GPU 32c,Metal,UMA,8,36,410,58,130,26,480,10GbE,No,1,None,SplitArch,1999,+12GB or 16c CPU,546,48,75,Reference,800,Best entry Mac Studio
8,Apple,Reference,Mac Studio M4 Max 14c 64GB,SFF,3.7,M4 Max 14c,M4Max,14,4.5,No,M4Max GPU 32c,Metal,UMA,8,64,410,60,135,28,480,10GbE,No,1,None,SplitArch,2599,Step up to 16c CPU,546,64,75,Reference,400,Comfortable headroom
9,Apple,Reference,Mac Studio M4 Max 16c 64GB,SFF,3.7,M4 Max 16c,M4Max,16,4.5,No,M4Max GPU 40c,Metal,UMA,8,64,546,75,150,33,480,10GbE,No,1,None,SplitArch,2999,+64GB to 128GB,546,128,80,Reference,1000,Highest M4 Max bandwidth
10,Apple,Reference,Mac Studio M4 Max 16c 128GB,SFF,3.7,M4 Max 16c,M4Max,16,4.5,No,M4Max GPU 40c,Metal,UMA,8,128,546,80,160,35,480,10GbE,No,1,None,SplitArch,4499,Step up to M3 Ultra,819,96,100,Reference,0,Can run 70B Q4 at 8-15 t/s
